Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
1K,,1K,1W 金属膜,1W 电阻,2
RK097,,1K,RK097 电位器,,1
1N4739,稳压二极管,1N4739,DO-41,稳压二极管,1
5K,,2.7K,1/4W 金属膜,1/4W 电阻,1
3K,,5.6K,1/4W 金属膜,1/4W 电阻,1
220uF,,220uF,10MM 电容,10mm 电解,2
472,贴片电容,472,1812_C,1206 电容,2
330,,"C1, C2, C3, C4",10MM 瓷片,10MM 瓷片电容,4
FAN,,FAN,HX2.54-2,HX-2.54,1
10uH,,L1,6826 卧,6826电感,1
IRFP260,MOS(场效应管),MOS,TO-247卧式A,NMOS,1
OUTPUT,,OUTPUT,KF142R-3,HX-2.54,1
INPUT,,P2,DC005,HX-2.54,1
P6KE15CA,双向TVS,P6KE15CA,DO-15 TVS,TVS,1
Switch,,S1,MS102-C4,,1
,,,,,
M4*30,单头六角尼龙柱,,,,4
M4*30,平头六角尼龙柱,,,,4
M4*30,螺钉,,,,4
M4*5,螺钉,,,,4
M3*6+6,铜柱,,,,
M3*5,螺钉,,,,
M3*10,螺钉,,,,
,,,,,
打火机点火器,,,,,
TO-247导热垫,,,,,
